x $x^2$ $x^3$
1.424242424242424310e+00 2.028466483011937882e+00 2.889028021259426815e+00
1.454545454545454586e+00 2.115702479338843034e+00 3.077385424492862676e+00
1.484848484848484862e+00 2.204775022956841024e+00 3.273756852269249062e+00
1.515151515151515138e+00 2.295684113865931852e+00 3.478309263433230214e+00
1.545454545454545414e+00 2.388429752066115519e+00 3.691209616829451257e+00
1.575757575757575690e+00 2.483011937557392024e+00 3.912624871302556873e+00
1.606060606060606188e+00 2.579430670339761811e+00 4.142721985697193077e+00
1.636363636363636465e+00 2.677685950413223548e+00 4.381667918858002331e+00
1.666666666666666741e+00 2.777777777777778123e+00 4.629629629629630649e+00
1.696969696969697017e+00 2.879706152433425537e+00 4.886774076856721827e+00
1.727272727272727293e+00 2.983471074380165344e+00 5.153268219383922322e+00
1.757575757575757569e+00 3.089072543617997990e+00 5.429279016055875928e+00
1.787878787878787845e+00 3.196510560146923474e+00 5.714973425717227329e+00
1.818181818181818343e+00 3.305785123966942685e+00 6.010518407212623870e+00
1.848484848484848619e+00 3.416896235078053845e+00 6.316080919386705794e+00
1.878787878787878896e+00 3.529843893480257400e+00 6.631827921084120447e+00
1.909090909090909172e+00 3.644628099173554237e+00 6.957926371149512512e+00
1.939393939393939448e+00 3.761248852157943467e+00 7.294543228427526671e+00
1.969696969696969724e+00 3.879706152433425093e+00 7.641845451762807606e+00
2.000000000000000000e+00 4.000000000000000000e+00 8.000000000000000000e+00
2.030303030303030276e+00 4.122130394857667746e+00 8.369173831983749423e+00
2.060606060606060552e+00 4.246097337006427885e+00 8.749533906558699670e+00
2.090909090909090828e+00 4.371900826446280419e+00 9.141247182569495422e+00
2.121212121212121104e+00 4.499540863177226235e+00 9.544480618860783139e+00
2.151515151515151381e+00 4.629017447199264446e+00 9.959401174277205726e+00
2.181818181818181657e+00 4.760330578512395938e+00 1.038617580766340787e+01
2.212121212121212377e+00 4.893480257116621601e+00 1.082497147786404312e+01
2.242424242424242653e+00 5.028466483011938770e+00 1.127595514372374197e+01
2.272727272727272929e+00 5.165289256198348333e+00 1.173929376408715619e+01
2.303030303030303205e+00 5.303948576675850290e+00 1.221515429779892870e+01
2.333333333333333481e+00 5.444444444444445530e+00 1.270370370370370594e+01
2.363636363636363757e+00 5.586776859504133164e+00 1.320510894064613261e+01
2.393939393939394034e+00 5.730945821854913191e+00 1.371953696747085338e+01
2.424242424242424310e+00 5.876951331496786501e+00 1.424715474302251295e+01
2.454545454545454586e+00 6.024793388429752206e+00 1.478812922614575598e+01
2.484848484848484862e+00 6.174471992653811192e+00 1.534262737568522716e+01
2.515151515151515138e+00 6.325987144168962573e+00 1.591081615048557119e+01
2.545454545454545414e+00 6.479338842975206347e+00 1.649286250939143272e+01
2.575757575757575690e+00 6.634527089072543404e+00 1.708893341124746001e+01
2.606060606060605966e+00 6.791551882460972855e+00 1.769919581489829241e+01
2.636363636363636243e+00 6.950413223140495589e+00 1.832381667918857815e+01
2.666666666666666963e+00 7.111111111111112493e+00 1.896296296296296902e+01
2.696969696969697239e+00 7.273645546372820903e+00 1.961680162506609548e+01
2.727272727272727515e+00 7.438016528925620818e+00 2.028549962434260578e+01
2.757575757575757791e+00 7.604224058769514905e+00 2.096922391963714816e+01
2.787878787878788067e+00 7.772268135904500497e+00 2.166814146979436728e+01
2.818181818181818343e+00 7.942148760330579371e+00 2.238241923365890784e+01
2.848484848484848619e+00 8.113865932047751528e+00 2.311222417007541452e+01
2.878787878787878896e+00 8.287419651056016079e+00 2.385772323788852844e+01
2.909090909090909172e+00 8.462809917355372136e+00 2.461908339594290140e+01
2.939393939393939448e+00 8.640036730945821475e+00 2.539647160308317453e+01
2.969696969696969724e+00 8.819100091827364096e+00 2.619005481815399250e+01
3.000000000000000000e+00 9.000000000000000000e+00 2.700000000000000000e+01
